Team,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Win,Loss,Season,Season Type,Match Count
Portland Trailblazers,0.458,0.556,0.218,0.258,0.147,0.125,0.206,0.191,0,4,2016-2017,POFF,4
San Antonio Spurs,0.512,0.539,0.214,0.208,0.127,0.142,0.291,0.215,8,8,2016-2017,POFF,16
Toronto Raptors,0.493,0.539,0.23,0.222,0.131,0.144,0.173,0.188,4,6,2016-2017,POFF,10
Utah Jazz,0.515,0.533,0.218,0.224,0.119,0.123,0.168,0.187,4,7,2016-2017,POFF,11
Washington Wizards,0.505,0.525,0.223,0.244,0.135,0.146,0.266,0.238,7,6,2016-2017,POFF,13
Atlanta Hawks,0.504,0.507,0.215,0.179,0.156,0.151,0.236,0.239,43,39,2016-2017,REG,82
Brooklyn Nets,0.507,0.513,0.228,0.212,0.158,0.127,0.196,0.239,20,62,2016-2017,REG,82
Boston Celtics,0.525,0.503,0.22,0.223,0.131,0.14,0.212,0.247,53,29,2016-2017,REG,82
Charlotte Hornets,0.501,0.523,0.227,0.164,0.115,0.13,0.199,0.204,36,46,2016-2017,REG,82
Chicago Bulls,0.487,0.507,0.206,0.169,0.136,0.135,0.27,0.232,41,41,2016-2017,REG,82
Cleveland Cavaliers,0.547,0.516,0.206,0.175,0.137,0.124,0.22,0.242,51,31,2016-2017,REG,82
Dallas Mavericks,0.505,0.529,0.18,0.218,0.122,0.158,0.181,0.224,33,49,2016-2017,REG,82
Denver Nuggets,0.53,0.532,0.214,0.194,0.148,0.118,0.273,0.214,40,42,2016-2017,REG,82
Detroit Pistons,0.492,0.516,0.157,0.197,0.12,0.128,0.241,0.188,37,45,2016-2017,REG,82
Golden State Warriors,0.563,0.486,0.204,0.198,0.145,0.149,0.228,0.251,67,15,2016-2017,REG,82
Houston Rockets,0.545,0.519,0.233,0.194,0.145,0.144,0.246,0.242,55,27,2016-2017,REG,82
Indiana Pacers,0.516,0.512,0.212,0.225,0.138,0.149,0.212,0.246,42,40,2016-2017,REG,82
Los Angeles Clippers,0.537,0.506,0.233,0.212,0.13,0.132,0.215,0.231,51,31,2016-2017,REG,82
Los Angeles Lakers,0.501,0.542,0.195,0.213,0.148,0.142,0.25,0.242,26,56,2016-2017,REG,82
Memphis Grizzlies,0.491,0.506,0.219,0.257,0.134,0.147,0.248,0.225,43,39,2016-2017,REG,82
Miami Heat,0.512,0.496,0.177,0.22,0.133,0.137,0.242,0.236,41,41,2016-2017,REG,82
Milwaukee Bucks,0.527,0.518,0.21,0.215,0.142,0.148,0.215,0.246,42,40,2016-2017,REG,82
Minnesota Timberwolves,0.511,0.535,0.229,0.212,0.141,0.145,0.272,0.241,31,51,2016-2017,REG,82
New Orleans Pelicans,0.504,0.509,0.192,0.177,0.126,0.136,0.185,0.233,34,48,2016-2017,REG,82
New York Knicks,0.496,0.511,0.188,0.214,0.137,0.128,0.266,0.259,31,51,2016-2017,REG,82
Oklahoma City Thunder,0.5,0.511,0.22,0.218,0.15,0.135,0.28,0.21,47,35,2016-2017,REG,82
Orlando Magic,0.489,0.523,0.184,0.201,0.133,0.129,0.216,0.226,29,53,2016-2017,REG,82
Philadelphia 76ers,0.501,0.512,0.199,0.234,0.162,0.147,0.224,0.247,28,54,2016-2017,REG,82
Phoenix Suns,0.493,0.525,0.231,0.264,0.149,0.144,0.26,0.237,24,58,2016-2017,REG,82
Portland Trailblazers,0.52,0.508,0.214,0.241,0.135,0.128,0.23,0.232,41,41,2016-2017,REG,82
Sacramento Kings,0.516,0.528,0.22,0.227,0.148,0.14,0.21,0.238,32,50,2016-2017,REG,82
San Antonio Spurs,0.524,0.492,0.21,0.192,0.137,0.147,0.24,0.224,61,21,2016-2017,REG,82
Toronto Raptors,0.517,0.507,0.233,0.223,0.125,0.148,0.25,0.237,51,31,2016-2017,REG,82
Utah Jazz,0.526,0.493,0.215,0.195,0.143,0.127,0.232,0.211,51,31,2016-2017,REG,82
Washington Wizards,0.528,0.524,0.199,0.213,0.138,0.151,0.241,0.245,49,33,2016-2017,REG,82
Atlanta Hawks,0.514,0.54,0.192,0.187,0.155,0.156,0.217,0.245,20,49,2017-2018,REG,69
Brooklyn Nets,0.507,0.518,0.202,0.201,0.146,0.122,0.218,0.227,21,47,2017-2018,REG,68
Boston Celtics,0.52,0.492,0.185,0.199,0.137,0.141,0.212,0.218,46,22,2017-2018,REG,68
Charlotte Hornets,0.506,0.535,0.227,0.174,0.125,0.138,0.219,0.187,30,39,2017-2018,REG,69
Chicago Bulls,0.5,0.537,0.167,0.188,0.132,0.129,0.2,0.192,24,44,2017-2018,REG,68
Cleveland Cavaliers,0.546,0.538,0.213,0.167,0.139,0.132,0.194,0.233,39,29,2017-2018,REG,68
Dallas Mavericks,0.514,0.532,0.173,0.195,0.126,0.144,0.18,0.211,22,46,2017-2018,REG,68
Denver Nuggets,0.536,0.542,0.194,0.174,0.152,0.141,0.257,0.22,38,31,2017-2018,REG,69
Detroit Pistons,0.508,0.529,0.169,0.179,0.137,0.151,0.229,0.218,30,38,2017-2018,REG,68
Golden State Warriors,0.579,0.499,0.204,0.191,0.153,0.131,0.214,0.237,52,16,2017-2018,REG,68
Houston Rockets,0.554,0.524,0.241,0.174,0.138,0.144,0.219,0.196,54,14,2017-2018,REG,68
Indiana Pacers,0.527,0.525,0.177,0.175,0.137,0.153,0.223,0.238,40,29,2017-2018,REG,69
Los Angeles Clippers,0.528,0.513,0.225,0.208,0.144,0.142,0.229,0.238,37,30,2017-2018,REG,67
Los Angeles Lakers,0.518,0.517,0.182,0.194,0.153,0.141,0.24,0.224,31,37,2017-2018,REG,68
Memphis Grizzlies,0.497,0.523,0.207,0.262,0.153,0.15,0.221,0.231,18,50,2017-2018,REG,68
Miami Heat,0.52,0.51,0.175,0.216,0.145,0.142,0.218,0.207,36,33,2017-2018,REG,69
Milwaukee Bucks,0.531,0.526,0.226,0.221,0.139,0.152,0.203,0.234,36,32,2017-2018,REG,68
Minnesota Timberwolves,0.526,0.541,0.226,0.187,0.123,0.154,0.246,0.239,40,29,2017-2018,REG,69
New Orleans Pelicans,0.542,0.516,0.188,0.182,0.142,0.134,0.198,0.233,39,29,2017-2018,REG,68
New York Knicks,0.509,0.525,0.179,0.205,0.15,0.136,0.244,0.232,24,45,2017-2018,REG,69
Oklahoma City Thunder,0.514,0.523,0.188,0.191,0.141,0.157,0.276,0.225,41,29,2017-2018,REG,70
Orlando Magic,0.521,0.529,0.187,0.189,0.146,0.138,0.201,0.248,21,48,2017-2018,REG,69
Philadelphia 76ers,0.53,0.496,0.207,0.223,0.167,0.138,0.256,0.22,37,30,2017-2018,REG,67
Phoenix Suns,0.493,0.533,0.208,0.22,0.151,0.131,0.229,0.235,19,51,2017-2018,REG,70
Portland Trailblazers,0.513,0.503,0.198,0.192,0.138,0.13,0.23,0.209,42,26,2017-2018,REG,68
Sacramento Kings,0.505,0.549,0.146,0.196,0.14,0.148,0.216,0.233,22,47,2017-2018,REG,69
San Antonio Spurs,0.508,0.505,0.186,0.166,0.137,0.143,0.231,0.214,39,30,2017-2018,REG,69
Toronto Raptors,0.537,0.498,0.207,0.215,0.13,0.148,0.234,0.229,51,17,2017-2018,REG,68
Utah Jazz,0.524,0.509,0.2,0.194,0.148,0.154,0.211,0.201,39,30,2017-2018,REG,69
Washington Wizards,0.526,0.52,0.202,0.214,0.143,0.149,0.236,0.232,39,30,2017-2018,REG,69
,,,,,,,,,,,,,
