Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Washington Wizards,99.35,97.73,1.62,92.34,106.65,104.61,2.04,0.505,0.491,0.54,0.533,44,38,50.54,113.49,105.07,1996-1997,REG,82,,,,,,,,,,,,,,
Atlanta Hawks,89,91.9,-2.9,81.64,105.08,108.76,-3.68,0.485,0.484,0.541,0.517,4,6,50.83,92.4,99.8,1996-1997,POFF,10,,,,,,,,,,,,,,
Charlotte Hornets,95.67,104.33,-8.67,85.23,109.96,119.01,-9.05,0.492,0.629,0.535,0.642,0,3,50.92,100,125,1996-1997,POFF,3,,,,,,,,,,,,,,
Chicago Bulls,92.53,86.95,5.58,82.57,107.46,101.16,6.29,0.47,0.469,0.512,0.523,15,4,52.91,106.42,88.11,1996-1997,POFF,19,,,,,,,,,,,,,,
Detroit Pistons,85.6,87.6,-2,79.23,104.14,105.8,-1.66,0.471,0.496,0.513,0.551,2,3,43.21,84.2,97.6,1996-1997,POFF,5,,,,,,,,,,,,,,
Houston Rockets,101.31,99.5,1.81,85.31,113.44,110.63,2.8,0.516,0.483,0.566,0.536,9,7,50.73,114.81,113.25,1996-1997,POFF,16,,,,,,,,,,,,,,
Los Angeles Clippers,92.33,105,-12.67,84.65,106.13,120.23,-14.1,0.476,0.552,0.527,0.611,0,3,43.29,91.67,130.67,1996-1997,POFF,3,,,,,,,,,,,,,,
Los Angeles Lakers,95.22,94.11,1.11,83.5,108.76,107.08,1.68,0.481,0.468,0.544,0.534,4,5,49.44,105.89,103.67,1996-1997,POFF,9,,,,,,,,,,,,,,
Miami Heat,85.94,85.71,0.24,82.79,99.66,99.39,0.27,0.467,0.442,0.512,0.497,8,9,49.61,89.82,94.59,1996-1997,POFF,17,,,,,,,,,,,,,,
Minnesota Timberwolves,99.67,111,-11.33,86.34,111.57,125.19,-13.62,0.487,0.574,0.516,0.615,0,3,46.59,112,134.67,1996-1997,POFF,3,,,,,,,,,,,,,,
New York Knicks,91.2,89.5,1.7,84.99,103.64,102.4,1.23,0.504,0.474,0.548,0.52,6,4,50.19,104.4,92.6,1996-1997,POFF,10,,,,,,,,,,,,,,
Orlando Magic,84.2,92,-7.8,81.48,100,108.49,-8.49,0.448,0.495,0.501,0.529,2,3,45.08,85.6,108.4,1996-1997,POFF,5,,,,,,,,,,,,,,
Phoenix Suns,100.2,112.8,-12.6,93.9,102.04,116.05,-14.01,0.478,0.516,0.528,0.568,2,3,46.44,106,133,1996-1997,POFF,5,,,,,,,,,,,,,,
Portland Trailblazers,89.75,96.75,-7,82.63,103.76,111.85,-8.09,0.479,0.496,0.528,0.56,1,3,48.52,94,110.5,1996-1997,POFF,4,,,,,,,,,,,,,,
Seattle SuperSonics,105.08,100.58,4.5,88.88,112.19,107.38,4.8,0.494,0.491,0.551,0.539,6,6,50.24,120.58,109.83,1996-1997,POFF,12,,,,,,,,,,,,,,
Utah Jazz,96.05,92.8,3.25,83.88,110.15,106.67,3.48,0.485,0.483,0.547,0.535,13,7,52.35,111.55,101.6,1996-1997,POFF,20,,,,,,,,,,,,,,
Washington Wizards,95,101,-6,84.87,106.74,113.48,-6.74,0.505,0.492,0.563,0.541,0,3,47.35,97,111,1996-1997,POFF,3,,,,,,,,,,,,,,
Atlanta Hawks,95.85,92.34,3.51,88.03,107.79,103.8,3.99,0.481,0.468,0.533,0.506,50,32,52.14,108.56,101,1997-1998,REG,82,,,,,,,,,,,,,,
Boston Celtics,95.9,98.52,-2.62,93.8,101.98,104.99,-3.01,0.464,0.504,0.504,0.562,36,46,48.35,104.1,110.16,1997-1998,REG,82,,,,,,,,,,,,,,
Charlotte Hornets,96.62,94.62,2,89.8,107.05,104.87,2.19,0.495,0.493,0.542,0.533,51,31,50.78,110.71,104.65,1997-1998,REG,82,,,,,,,,,,,,,,
Chicago Bulls,96.72,89.61,7.11,89.28,107.38,99.55,7.83,0.473,0.457,0.516,0.5,62,20,53.07,113.01,94.73,1997-1998,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,92.5,89.77,2.73,90.28,101.69,98.7,2.99,0.478,0.46,0.529,0.513,47,35,50.84,106.24,98.09,1997-1998,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,91.39,97.5,-6.11,90.33,100.03,107.16,-7.13,0.458,0.488,0.498,0.523,20,62,45.96,97.78,114.26,1997-1998,REG,82,,,,,,,,,,,,,,
Denver Nuggets,89.02,100.81,-11.78,90.03,98.64,111.75,-13.11,0.44,0.506,0.496,0.556,11,71,47.77,93.46,119.42,1997-1998,REG,82,,,,,,,,,,,,,,
Detroit Pistons,94.16,92.59,1.57,88.57,104.85,103.07,1.78,0.472,0.474,0.523,0.521,37,45,50.42,103.56,102.96,1997-1998,REG,82,,,,,,,,,,,,,,
Golden State Warriors,88.26,97.38,-9.12,92.02,95.19,104.86,-9.67,0.427,0.469,0.469,0.515,19,63,50.62,96,114.76,1997-1998,REG,82,,,,,,,,,,,,,,
Houston Rockets,98.77,99.52,-0.76,91.28,107.39,108.31,-0.92,0.496,0.499,0.544,0.537,41,41,49.78,108.65,113.68,1997-1998,REG,82,,,,,,,,,,,,,,
Indiana Pacers,96.02,89.94,6.09,88.45,107.75,100.83,6.91,0.502,0.453,0.55,0.5,58,24,48.89,110.78,96.68,1997-1998,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,95.92,103.28,-7.37,92.55,103.11,111.13,-8.02,0.477,0.498,0.518,0.541,17,65,47.68,100.26,118.87,1997-1998,REG,82,,,,,,,,,,,,,,
