Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Denver Nuggets,98.96,101.09,-2.12,94.96,103.3,105.5,-2.2,0.476,0.479,0.517,0.524,35,47,50.21,112.04,115.82,1999-2000,REG,82,,,,,,,,,,,,,,
Detroit Pistons,103.45,102.01,1.44,96.22,106.7,105.26,1.45,0.492,0.499,0.548,0.544,42,40,49.26,111.12,113.2,1999-2000,REG,82,,,,,,,,,,,,,,
Golden State Warriors,95.54,103.81,-8.27,95.99,99.15,107.92,-8.77,0.444,0.499,0.485,0.546,19,63,49.71,103.18,122.46,1999-2000,REG,82,,,,,,,,,,,,,,
Houston Rockets,99.46,100.33,-0.87,94.48,104.48,105.64,-1.15,0.494,0.481,0.536,0.522,34,48,50.82,109.54,114.5,1999-2000,REG,82,,,,,,,,,,,,,,
Indiana Pacers,101.29,96.7,4.6,93.63,107.91,103.15,4.76,0.503,0.469,0.552,0.509,56,26,49.07,116.01,107.01,1999-2000,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,92.02,103.55,-11.53,94.39,97.37,109.45,-12.08,0.458,0.507,0.499,0.546,15,67,47.14,95.38,121.18,1999-2000,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,100.82,92.27,8.55,93.66,106.96,97.71,9.25,0.484,0.443,0.525,0.49,67,15,52.14,117.88,97.67,1999-2000,REG,82,,,,,,,,,,,,,,
Vancouver Grizzlies,93.93,99.55,-5.62,91.32,101.95,107.83,-5.89,0.474,0.502,0.524,0.545,22,60,50.17,101.98,116.15,1999-2000,REG,82,,,,,,,,,,,,,,
Miami Heat,94.38,91.27,3.11,90.01,104.06,100.5,3.56,0.495,0.453,0.533,0.5,52,30,51.64,111.76,97.21,1999-2000,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,101.22,101,0.22,93.08,107.79,107.45,0.35,0.494,0.496,0.539,0.543,42,40,49.88,113.82,112.74,1999-2000,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,98.52,96,2.52,92.26,105.58,102.96,2.62,0.485,0.474,0.525,0.522,50,32,50.96,117.76,104.04,1999-2000,REG,82,,,,,,,,,,,,,,
New Jersey Nets,98,99.04,-1.04,93.45,104.08,105.21,-1.13,0.468,0.491,0.517,0.532,31,51,46.98,107.31,113.98,1999-2000,REG,82,,,,,,,,,,,,,,
Charlotte Hornets,98.44,95.77,2.67,94.59,103.54,100.8,2.75,0.475,0.478,0.53,0.516,49,33,50.02,115.52,107.67,1999-2000,REG,82,,,,,,,,,,,,,,
New York Knicks,92.13,90.67,1.46,89.19,102.52,100.64,1.89,0.482,0.455,0.527,0.506,50,32,49.66,101.23,97.85,1999-2000,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,99.09,98.13,0.95,93.66,105.26,104.55,0.71,0.487,0.483,0.52,0.521,45,37,48.82,109.5,112.6,1999-2000,REG,82,,,,,,,,,,,,,,
Orlando Magic,100.07,99.39,0.68,97.73,102.01,101.65,0.37,0.473,0.476,0.516,0.52,41,41,50.81,109.51,111.1,1999-2000,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,94.77,93.43,1.34,93.31,100.79,99.2,1.59,0.457,0.466,0.501,0.512,49,33,50.34,106.06,105.07,1999-2000,REG,82,,,,,,,,,,,,,,
Phoenix Suns,98.92,93.7,5.22,94.46,104.05,98.51,5.54,0.491,0.454,0.532,0.503,53,29,50.31,115.73,101.17,1999-2000,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,97.45,91.05,6.4,89.67,108.13,100.78,7.35,0.501,0.461,0.546,0.502,59,23,52.44,114.39,96.83,1999-2000,REG,82,,,,,,,,,,,,,,
Sacramento Kings,104.96,102.05,2.91,99.42,104.91,101.89,3.03,0.486,0.479,0.526,0.518,44,38,48.6,117.26,116.33,1999-2000,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,96.17,90.23,5.94,91.07,104.67,98.08,6.59,0.488,0.451,0.535,0.491,53,29,51.41,113.13,98.35,1999-2000,REG,82,,,,,,,,,,,,,,
Toronto Raptors,97.17,97.33,-0.16,93.06,104.02,104.15,-0.13,0.464,0.48,0.511,0.528,45,37,50.24,112.2,109.12,1999-2000,REG,82,,,,,,,,,,,,,,
Utah Jazz,96.51,92.05,4.46,89.82,107.05,102.33,4.72,0.49,0.477,0.54,0.526,55,27,51.84,113.72,98.29,1999-2000,REG,82,,,,,,,,,,,,,,
Washington Wizards,96.6,99.88,-3.28,93.23,102.96,106.61,-3.65,0.476,0.489,0.521,0.538,29,53,50.89,105.99,112.35,1999-2000,REG,82,,,,,,,,,,,,,,
Detroit Pistons,79.67,90,-10.33,90.33,88.19,100,-11.81,0.435,0.512,0.491,0.546,0,3,45.37,71.33,107.33,1999-2000,POFF,3,,,,,,,,,,,,,,
Indiana Pacers,98.09,95.26,2.83,80.82,121.03,117.23,3.8,0.488,0.482,0.545,0.519,13,10,49.57,109.96,104.13,1999-2000,POFF,23,,,,,,,,,,,,,,
Los Angeles Lakers,99.78,97.44,2.35,82.32,120.66,117.51,3.15,0.498,0.476,0.529,0.534,15,8,51.55,111,105.17,1999-2000,POFF,23,,,,,,,,,,,,,,
Miami Heat,83.2,80.7,2.5,67.6,121.82,117.98,3.83,0.451,0.431,0.493,0.49,6,4,53.25,94.7,81.8,1999-2000,POFF,10,,,,,,,,,,,,,,
Milwaukee Bucks,95.2,94.2,1,53.24,180.3,176.41,3.9,0.483,0.446,0.523,0.503,2,3,50.36,110.8,97.8,1999-2000,POFF,5,,,,,,,,,,,,,,
Minnesota Timberwolves,85.25,87.25,-2,82.75,103.02,106.08,-3.06,0.467,0.476,0.506,0.534,1,3,49.82,97,95.5,1999-2000,POFF,4,,,,,,,,,,,,,,
Charlotte Hornets,91.25,94,-2.75,85.52,103.99,107.12,-3.13,0.46,0.466,0.525,0.516,1,3,52.07,110,105.5,1999-2000,POFF,4,,,,,,,,,,,,,,
New York Knicks,84.44,85.5,-1.06,73.58,114.01,115.44,-1.44,0.462,0.442,0.512,0.496,9,7,47.42,89.88,95.31,1999-2000,POFF,16,,,,,,,,,,,,,,
Seattle SuperSonics,93.2,94.4,-1.2,88.6,105.19,106.07,-0.88,0.481,0.508,0.519,0.549,2,3,49.4,99.8,114.8,1999-2000,POFF,5,,,,,,,,,,,,,,
Philadelphia 76ers,94.2,95.5,-1.3,87.89,106.08,108.28,-2.2,0.452,0.49,0.507,0.544,5,5,50.96,101.8,113.4,1999-2000,POFF,10,,,,,,,,,,,,,,
Phoenix Suns,87.33,91,-3.67,80.33,108.71,112.66,-3.94,0.435,0.436,0.474,0.492,4,5,49.45,97.22,99.22,1999-2000,POFF,9,,,,,,,,,,,,,,
Portland Trailblazers,92.5,87.75,4.75,80.56,114.82,109.26,5.56,0.481,0.478,0.541,0.518,10,6,50.5,102.38,97.25,1999-2000,POFF,16,,,,,,,,,,,,,,
Sacramento Kings,96.4,104.4,-8,92.4,104.33,113.23,-8.9,0.456,0.488,0.512,0.516,2,3,44.69,98.4,122,1999-2000,POFF,5,,,,,,,,,,,,,,
San Antonio Spurs,81.75,83,-1.25,91.25,89.59,91.71,-2.12,0.391,0.421,0.457,0.453,1,3,49.07,87.25,100,1999-2000,POFF,4,,,,,,,,,,,,,,
Toronto Raptors,83.67,87.67,-4,87,96.17,100.77,-4.6,0.403,0.493,0.477,0.55,0,3,53.56,92,90,1999-2000,POFF,3,,,,,,,,,,,,,,
Utah Jazz,88.3,93.2,-4.9,87.7,100.68,106.64,-5.95,0.475,0.483,0.519,0.531,4,6,50,102.4,102.5,1999-2000,POFF,10,,,,,,,,,,,,,,
Atlanta Hawks,90.96,96.17,-5.21,92.59,97.99,103.83,-5.84,0.456,0.472,0.5,0.522,25,57,49.68,97.98,110.29,2000-2001,REG,82,,,,,,,,,,,,,,
Boston Celtics,94.62,96.76,-2.13,92.66,101.35,103.7,-2.35,0.473,0.493,0.521,0.54,36,46,47.99,101.43,111.23,2000-2001,REG,82,,,,,,,,,,,,,,
Chicago Bulls,87.57,96.67,-9.1,89.52,96.96,107.37,-10.41,0.45,0.499,0.495,0.543,15,67,47.59,95.67,113.59,2000-2001,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,92.21,96.45,-4.24,91.22,100.32,104.77,-4.45,0.459,0.477,0.509,0.526,30,52,50.47,102.24,110.9,2000-2001,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,100.48,96.2,4.28,93.12,107.22,102.47,4.76,0.498,0.467,0.544,0.514,53,29,47.96,114.2,107.22,2000-2001,REG,82,,,,,,,,,,,,,,
Denver Nuggets,96.56,99.02,-2.46,92.98,103.33,105.95,-2.62,0.47,0.476,0.511,0.52,40,42,49.81,110.96,116.11,2000-2001,REG,82,,,,,,,,,,,,,,
Detroit Pistons,95.57,97.27,-1.7,94.82,99.91,101.58,-1.67,0.453,0.466,0.498,0.511,32,50,50.34,102.57,108.77,2000-2001,REG,82,,,,,,,,,,,,,,
Golden State Warriors,92.49,101.54,-9.05,94.76,97.11,106.73,-9.62,0.429,0.504,0.47,0.546,17,65,49.99,99.6,121.61,2000-2001,REG,82,,,,,,,,,,,,,,
Houston Rockets,97.22,94.93,2.29,90.49,106.62,103.98,2.64,0.492,0.475,0.538,0.515,45,37,50.26,107.1,105.94,2000-2001,REG,82,,,,,,,,,,,,,,
Indiana Pacers,92.57,92.77,-0.2,89.86,101.47,101.73,-0.26,0.471,0.452,0.519,0.501,41,41,49.85,105.78,102.28,2000-2001,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,92.45,95.34,-2.89,89.61,101.36,104.77,-3.41,0.476,0.466,0.514,0.51,31,51,50.29,100.92,107.67,2000-2001,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,100.62,97.24,3.38,91.7,108.49,104.83,3.67,0.498,0.468,0.535,0.515,56,26,51.98,114.74,104.78,2000-2001,REG,82,,,,,,,,,,,,,,
Vancouver Grizzlies,91.73,97.46,-5.73,91.98,99.22,105.45,-6.23,0.464,0.491,0.51,0.527,23,59,48.11,101.83,114.39,2000-2001,REG,82,,,,,,,,,,,,,,
Miami Heat,88.89,86.6,2.29,87.28,100.82,98.2,2.61,0.469,0.46,0.515,0.503,50,32,48.55,97.72,94.38,2000-2001,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,100.73,96.85,3.88,92.52,108.33,103.94,4.39,0.499,0.473,0.542,0.523,52,30,49.79,115.48,107.73,2000-2001,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,97.34,95.99,1.35,91.8,105.23,103.87,1.37,0.482,0.478,0.523,0.522,47,35,50,115.54,106.44,2000-2001,REG,82,,,,,,,,,,,,,,
New Jersey Nets,92.1,97.15,-5.05,92.22,99.62,105.2,-5.59,0.452,0.488,0.504,0.536,26,56,47.26,97.95,112.56,2000-2001,REG,82,,,,,,,,,,,,,,
Charlotte Hornets,91.94,89.84,2.1,90.06,101.06,98.91,2.15,0.457,0.456,0.506,0.502,46,36,52.25,107.66,98.65,2000-2001,REG,82,,,,,,,,,,,,,,
New York Knicks,88.72,86.09,2.64,86.56,101.34,98.1,3.24,0.476,0.453,0.523,0.501,48,34,50.05,98.23,92.45,2000-2001,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,97.29,97.27,0.03,91.59,105.56,105.61,-0.06,0.491,0.488,0.53,0.526,44,38,49.59,108.59,112.43,2000-2001,REG,82,,,,,,,,,,,,,,
Orlando Magic,97.46,96.48,0.99,92.91,103.46,102.3,1.16,0.474,0.464,0.513,0.519,43,39,48.95,107.33,107.73,2000-2001,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,94.67,90.39,4.28,91.17,102.93,98.21,4.72,0.468,0.46,0.518,0.499,56,26,52.31,107.71,100.04,2000-2001,REG,82,,,,,,,,,,,,,,
Phoenix Suns,94.02,91.82,2.21,93.24,100.21,97.78,2.43,0.46,0.46,0.506,0.512,51,31,50.06,107.48,100.59,2000-2001,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,95.42,91.22,4.2,89.22,106.41,101.82,4.58,0.497,0.47,0.539,0.513,50,32,51.93,112.71,98.77,2000-2001,REG,82,,,,,,,,,,,,,,
Sacramento Kings,101.74,95.93,5.82,94.38,105.66,99.39,6.27,0.484,0.461,0.529,0.498,55,27,49.52,117.34,107.63,2000-2001,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,96.17,88.42,7.76,89.66,106.45,97.56,8.89,0.496,0.444,0.541,0.483,58,24,51.53,113.15,95.95,2000-2001,REG,82,,,,,,,,,,,,,,
Toronto Raptors,97.65,95.39,2.26,90.9,105.94,103.29,2.65,0.468,0.476,0.51,0.518,47,35,51.48,113.49,105.84,2000-2001,REG,82,,,,,,,,,,,,,,
Utah Jazz,97.06,92.37,4.7,90.14,107.13,102.35,4.78,0.497,0.473,0.546,0.531,53,29,52.11,114.32,98.85,2000-2001,REG,82,,,,,,,,,,,,,,
Washington Wizards,93.23,99.9,-6.67,92.83,100.43,107.75,-7.31,0.46,0.503,0.514,0.545,19,63,50.33,100.11,114.98,2000-2001,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,92.2,95.9,-3.7,88.5,104.18,108.48,-4.3,0.436,0.491,0.501,0.535,4,6,47.4,98,113.3,2000-2001,POFF,10,,,,,,,,,,,,,,
Indiana Pacers,87.25,92.75,-5.5,91.3,99.71,106.61,-6.9,0.436,0.451,0.482,0.511,1,3,47.18,92.25,108.25,2000-2001,POFF,4,,,,,,,,,,,,,,
Los Angeles Lakers,103.38,90.63,12.75,92.15,111.46,97.84,13.62,0.505,0.433,0.543,0.488,15,1,54.14,122.19,93.38,2000-2001,POFF,16,,,,,,,,,,,,,,
Miami Heat,74.67,100.67,-26,101.25,82.96,111.03,-28.07,0.458,0.496,0.492,0.564,0,3,43.04,71.33,119,2000-2001,POFF,3,,,,,,,,,,,,,,
Milwaukee Bucks,90.33,94.28,-3.95,93.84,101.31,105.93,-4.62,0.475,0.447,0.525,0.496,10,8,49.65,107.22,105,2000-2001,POFF,18,,,,,,,,,,,,,,
Minnesota Timberwolves,71,88.5,-17.5,87.25,81.38,100.86,-19.48,0.397,0.47,0.448,0.517,1,3,45.22,74.75,97.5,2000-2001,POFF,4,,,,,,,,,,,,,,
Charlotte Hornets,95.7,78.7,17,102.69,107.53,88.23,19.3,0.462,0.47,0.521,0.512,6,4,53.41,108.4,90.8,2000-2001,POFF,10,,,,,,,,,,,,,,
New York Knicks,85.2,92.2,-7,87.8,97.04,104.77,-7.73,0.501,0.462,0.551,0.507,2,3,44.32,85.2,98.6,2000-2001,POFF,5,,,,,,,,,,,,,,
Orlando Magic,102.75,108.5,-5.75,93.81,106.75,113.61,-6.86,0.479,0.453,0.511,0.522,1,3,45.1,113.25,123.75,2000-2001,POFF,4,,,,,,,,,,,,,,
Philadelphia 76ers,92.22,92.44,-0.22,87.98,105.1,105.3,-0.2,0.446,0.486,0.5,0.526,12,11,51.42,103.61,107.7,2000-2001,POFF,23,,,,,,,,,,,,,,
Phoenix Suns,88.5,98,-9.5,97.25,91,101.03,-10.03,0.404,0.434,0.445,0.498,1,3,46.34,95,105.5,2000-2001,POFF,4,,,,,,,,,,,,,,
Portland Trailblazers,89,103.67,-14.67,91.33,97.45,113.92,-16.47,0.454,0.488,0.507,0.529,0,3,43.63,88.67,123.33,2000-2001,POFF,3,,,,,,,,,,,,,,
Sacramento Kings,97.63,97.5,0.13,97,100.64,100.13,0.52,0.432,0.448,0.495,0.496,3,5,50.8,102.38,107.75,2000-2001,POFF,8,,,,,,,,,,,,,,
San Antonio Spurs,91.54,88.54,3,89.39,102.41,98.88,3.53,0.475,0.441,0.521,0.484,7,6,50.09,103.23,99.85,2000-2001,POFF,13,,,,,,,,,,,,,,
Toronto Raptors,92.17,89.67,2.5,87.33,105.53,102.57,2.96,0.481,0.479,0.52,0.532,6,6,50.99,105.25,97.42,2000-2001,POFF,12,,,,,,,,,,,,,,
Utah Jazz,89.6,93.8,-4.2,86.4,103.7,108.82,-5.11,0.447,0.468,0.503,0.542,2,3,51.98,103,97.4,2000-2001,POFF,5,,,,,,,,,,,,,,
Atlanta Hawks,94.04,98.27,-4.23,92.38,101.27,105.99,-4.71,0.471,0.495,0.517,0.535,33,49,49.1,102.61,114.18,2001-2002,REG,82,,,,,,,,,,,,,,
Boston Celtics,96.35,94.15,2.21,92.45,103.43,100.93,2.5,0.476,0.464,0.52,0.515,49,33,47.92,106.66,107.76,2001-2002,REG,82,,,,,,,,,,,,,,
Chicago Bulls,89.45,97.99,-8.54,90.63,98.08,107.68,-9.6,0.456,0.497,0.499,0.541,21,61,48.42,97.99,116.33,2001-2002,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,95.27,98.6,-3.33,90.27,104.61,108.19,-3.58,0.477,0.493,0.524,0.534,29,53,51.04,109.54,113.34,2001-2002,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,105.23,100.98,4.26,93.19,111.79,107.45,4.34,0.507,0.485,0.553,0.53,57,25,48.75,119.82,114.07,2001-2002,REG,82,,,,,,,,,,,,,,
Denver Nuggets,92.18,98,-5.82,90.33,101.41,108.13,-6.72,0.455,0.492,0.495,0.537,27,55,49.3,101.74,116.59,2001-2002,REG,82,,,,,,,,,,,,,,
Detroit Pistons,94.33,92.2,2.13,90.05,104.75,102.22,2.54,0.497,0.474,0.54,0.516,50,32,47.57,107.6,102.71,2001-2002,REG,82,,,,,,,,,,,,,,
Golden State Warriors,97.67,103.07,-5.4,94.73,102.59,108.42,-5.83,0.452,0.488,0.499,0.533,21,61,51.88,106.68,119.65,2001-2002,REG,82,,,,,,,,,,,,,,
Houston Rockets,92.34,97.23,-4.89,88.55,102.71,108.34,-5.63,0.465,0.491,0.507,0.525,28,54,49.17,98.96,113.65,2001-2002,REG,82,,,,,,,,,,,,,,
Indiana Pacers,96.81,96.54,0.27,92.18,103.83,103.59,0.25,0.477,0.469,0.527,0.514,42,40,49.55,110.81,108.2,2001-2002,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,95.68,96.15,-0.46,90.1,105.53,106.23,-0.7,0.476,0.477,0.519,0.515,39,43,50.81,107.21,109.54,2001-2002,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,101.27,94.15,7.12,92.19,109.29,101.71,7.58,0.498,0.453,0.534,0.502,58,24,50.61,116.94,101.78,2001-2002,REG,82,,,,,,,,,,,,,,
Memphis Grizzlies,89.9,97.34,-7.44,91.29,97.98,105.88,-7.9,0.462,0.486,0.501,0.524,23,59,47.9,99.57,116.59,2001-2002,REG,82,,,,,,,,,,,,,,
Miami Heat,87.2,88.73,-1.54,87.27,98.66,100.25,-1.59,0.463,0.455,0.501,0.504,36,46,50.5,98.16,95.61,2001-2002,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,97.51,97.73,-0.22,90.39,106.66,106.97,-0.31,0.507,0.477,0.544,0.52,41,41,49.35,111.35,110.32,2001-2002,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,99.33,95.95,3.38,90.52,109.04,105.13,3.91,0.49,0.482,0.532,0.524,50,32,52.79,116.76,105.79,2001-2002,REG,82,,,,,,,,,,,,,,
New Jersey Nets,96.21,92.05,4.16,91.9,103.9,99.32,4.58,0.476,0.459,0.515,0.503,52,30,50.27,112.09,100.17,2001-2002,REG,82,,,,,,,,,,,,,,
Charlotte Hornets,93.9,92.94,0.96,89.77,104.21,103.32,0.89,0.466,0.465,0.513,0.512,44,38,51.46,107.32,102.45,2001-2002,REG,82,,,,,,,,,,,,,,
New York Knicks,91.63,95.62,-3.99,89.66,101.55,105.96,-4.41,0.468,0.479,0.514,0.525,30,52,48.79,99.71,109.4,2001-2002,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,97.73,94.71,3.03,89.17,108.77,105.39,3.38,0.505,0.485,0.54,0.524,45,37,49.14,112.92,105.57,2001-2002,REG,82,,,,,,,,,,,,,,
Orlando Magic,100.49,98.92,1.57,93.25,106.94,105.39,1.55,0.493,0.486,0.533,0.526,44,38,47.61,111.1,113.7,2001-2002,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,90.99,89.39,1.6,89.31,101.62,99.57,2.06,0.452,0.46,0.507,0.503,43,39,52.14,103.9,100.18,2001-2002,REG,82,,,,,,,,,,,,,,
Phoenix Suns,95.15,95.83,-0.68,91.61,103.08,103.76,-0.69,0.472,0.476,0.51,0.521,36,46,49.85,107.65,109.18,2001-2002,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,96.65,93.66,2.99,89.31,107.4,104.02,3.38,0.485,0.489,0.528,0.527,49,33,52.3,112.39,106.12,2001-2002,REG,82,,,,,,,,,,,,,,
Sacramento Kings,104.61,97,7.61,95.53,109.09,101.06,8.04,0.497,0.467,0.539,0.504,61,21,50.22,121.96,108.12,2001-2002,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,96.73,90.52,6.21,90.01,106.53,99.56,6.97,0.492,0.453,0.539,0.495,58,24,50.3,110.32,98.45,2001-2002,REG,82,,,,,,,,,,,,,,
Toronto Raptors,91.39,91.83,-0.44,88.92,102.39,102.95,-0.56,0.463,0.471,0.501,0.518,42,40,50.14,103.71,101.85,2001-2002,REG,82,,,,,,,,,,,,,,
Utah Jazz,95.99,95.1,0.89,90.46,105.31,104.06,1.26,0.472,0.484,0.529,0.539,44,38,52.48,112.54,103.81,2001-2002,REG,82,,,,,,,,,,,,,,
Washington Wizards,92.79,94.2,-1.4,88.7,104.35,105.91,-1.56,0.464,0.484,0.508,0.526,37,45,50.83,104.06,106.94,2001-2002,REG,82,,,,,,,,,,,,,,
Boston Celtics,91.25,88.44,2.81,90.19,101.18,97.92,3.25,0.469,0.45,0.515,0.499,9,7,50.44,102.5,97.13,2001-2002,POFF,16,,,,,,,,,,,,,,
Dallas Mavericks,109,108.75,0.25,96.25,111.8,111.54,0.26,0.499,0.493,0.55,0.546,4,4,46.08,117.25,121.63,2001-2002,POFF,8,,,,,,,,,,,,,,
Detroit Pistons,83,83.4,-0.4,85.9,96.62,97.32,-0.69,0.454,0.446,0.497,0.491,4,6,46.54,88.1,94.4,2001-2002,POFF,10,,,,,,,,,,,,,,
Indiana Pacers,91.6,91.4,0.2,90.05,97.66,96.41,1.24,0.489,0.448,0.533,0.489,2,3,50.48,103.6,96.8,2001-2002,POFF,5,,,,,,,,,,,,,,
Los Angeles Lakers,97.84,94.05,3.79,91.39,106.47,102.23,4.24,0.482,0.455,0.527,0.499,15,4,51.83,109.74,100.84,2001-2002,POFF,19,,,,,,,,,,,,,,
Minnesota Timberwolves,102,112.67,-10.67,95.67,106.62,117.77,-11.15,0.475,0.521,0.53,0.58,0,3,54.41,106,127.33,2001-2002,POFF,3,,,,,,,,,,,,,,
New Jersey Nets,95.35,95.4,-0.05,92.73,101.76,101.98,-0.22,0.457,0.472,0.503,0.523,11,9,49.19,104.3,107.45,2001-2002,POFF,20,,,,,,,,,,,,,,
Charlotte Hornets,96.11,96.11,0,91.55,102.61,103.72,-1.11,0.449,0.454,0.505,0.512,4,5,52.99,108.67,103.56,2001-2002,POFF,9,,,,,,,,,,,,,,
Seattle SuperSonics,86.2,96.4,-10.2,84.2,102.38,114.49,-12.11,0.46,0.503,0.49,0.549,2,3,48.79,91,113.2,2001-2002,POFF,5,,,,,,,,,,,,,,
Orlando Magic,93.75,98.75,-5,88.63,100.54,104.22,-3.69,0.451,0.445,0.509,0.509,1,3,44.13,97.25,114.75,2001-2002,POFF,4,,,,,,,,,,,,,,
Philadelphia 76ers,89,97.8,-8.8,88.4,100.68,111.39,-10.71,0.44,0.541,0.508,0.577,2,3,51.76,98.2,113.4,2001-2002,POFF,5,,,,,,,,,,,,,,
Portland Trailblazers,91.33,96.67,-5.33,91,100.37,106.62,-6.25,0.423,0.487,0.485,0.544,0,3,51.16,97,111,2001-2002,POFF,3,,,,,,,,,,,,,,
Sacramento Kings,101.06,98.81,2.25,94.09,106.03,103.54,2.5,0.478,0.46,0.529,0.504,10,6,50.14,111.88,106.69,2001-2002,POFF,16,,,,,,,,,,,,,,
San Antonio Spurs,91.1,88.1,3,85.4,106.68,102.92,3.75,0.465,0.466,0.518,0.497,4,6,49.34,101.5,94.9,2001-2002,POFF,10,,,,,,,,,,,,,,
Toronto Raptors,83.8,86.6,-2.8,85.4,98.13,101.17,-3.04,0.444,0.468,0.486,0.524,2,3,53.67,95.2,93.2,2001-2002,POFF,5,,,,,,,,,,,,,,
Utah Jazz,88,89,-1,89.75,98.05,99.72,-1.67,0.437,0.436,0.482,0.512,1,3,50.44,100,92.5,2001-2002,POFF,4,,,,,,,,,,,,,,
Atlanta Hawks,94.07,97.63,-3.56,91.64,101.5,105.27,-3.77,0.476,0.469,0.527,0.514,35,47,50.01,105.78,110.01,2002-2003,REG,82,,,,,,,,,,,,,,
Boston Celtics,92.67,93.06,-0.39,90.87,101.21,101.73,-0.52,0.47,0.471,0.514,0.518,44,38,47.38,98.65,106.1,2002-2003,REG,82,,,,,,,,,,,,,,
Chicago Bulls,94.95,100.09,-5.13,93.74,100.03,105.53,-5.5,0.471,0.47,0.512,0.521,30,52,48.87,104.24,115.06,2002-2003,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,91.4,101.02,-9.62,94.35,96.14,106.31,-10.18,0.444,0.484,0.491,0.534,17,65,51.67,99.85,117.6,2002-2003,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,102.98,95.2,7.78,92.72,110.5,102.5,8,0.498,0.473,0.543,0.515,60,22,48.11,119.72,104.96,2002-2003,REG,82,,,,,,,,,,,,,,
Denver Nuggets,84.16,92.44,-8.28,91.18,92.06,101.46,-9.4,0.428,0.477,0.469,0.533,17,65,51.26,90.38,105.23,2002-2003,REG,82,,,,,,,,,,,,,,
Detroit Pistons,91.37,87.68,3.68,87.07,103.75,99.5,4.25,0.473,0.461,0.523,0.506,50,32,49.56,102.22,96.29,2002-2003,REG,82,,,,,,,,,,,,,,
Golden State Warriors,102.44,103.57,-1.13,94.81,107.64,108.75,-1.11,0.472,0.482,0.526,0.525,38,44,51.6,114.48,118.21,2002-2003,REG,82,,,,,,,,,,,,,,
Houston Rockets,93.76,92.28,1.48,89.21,103.78,101.9,1.88,0.474,0.462,0.522,0.506,43,39,51.85,104.57,102.31,2002-2003,REG,82,,,,,,,,,,,,,,
Indiana Pacers,96.83,93.34,3.49,91.83,104.25,100.66,3.6,0.469,0.458,0.522,0.506,48,34,51.14,112.63,102.98,2002-2003,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,93.82,97.94,-4.12,91.54,102.1,106.6,-4.5,0.467,0.481,0.517,0.525,27,55,49.74,101.93,111.67,2002-2003,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,100.37,98.04,2.33,92.76,106.84,104.57,2.28,0.486,0.477,0.528,0.525,50,32,51.27,114.59,107.38,2002-2003,REG,82,,,,,,,,,,,,,,
Memphis Grizzlies,97.5,100.73,-3.23,92.75,103.8,107.13,-3.33,0.487,0.491,0.526,0.529,28,54,48.08,110.16,118.07,2002-2003,REG,82,,,,,,,,,,,,,,
Miami Heat,85.56,90.61,-5.05,87.71,96.81,102.36,-5.54,0.439,0.47,0.483,0.52,25,57,49.66,91.73,101.1,2002-2003,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,99.49,99.26,0.23,90.67,108.48,108.3,0.18,0.5,0.494,0.543,0.538,42,40,47.66,111.48,112.35,2002-2003,REG,82,,,,,,,,,,,,,,
