Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Houston Rockets,113.44,110.63,9.94,6.39,13.72,14.73,32.75,30.09,25.89,24.88,8.61,9.8,4.9,4.66,16.59,13.48,24.49,26.27,1996-1997,POFF,16
Los Angeles Clippers,106.13,120.23,6.9,4.96,11.88,12.6,26.44,37.41,18.77,26.34,7.66,9.54,4.98,6.11,13.03,14.89,33.33,29.39,1996-1997,POFF,3
Los Angeles Lakers,108.76,107.08,5.58,5.31,12.82,13.78,31.6,31.48,23.48,24.27,7.74,6.83,6.98,6.07,14.47,15.68,30.33,31.48,1996-1997,POFF,9
Miami Heat,99.66,99.39,9.69,5.46,12.89,14.12,34.99,34.52,19.92,19.78,7.78,10.37,5.94,5.12,18.08,15.62,25.99,26.13,1996-1997,POFF,17
Minnesota Timberwolves,111.57,125.19,7.09,13.16,15.67,12.41,27.61,37.59,26.87,32.71,8.58,7.14,4.48,4.51,9.7,15.79,26.12,22.56,1996-1997,POFF,3
New York Knicks,103.64,102.4,6.25,8.7,11.02,12.24,33.86,32.61,23.98,19.22,9.89,8.81,3.98,5.61,17.39,16.82,26.59,24.94,1996-1997,POFF,10
Orlando Magic,100,108.49,6.89,11.32,11.4,15.8,33.25,38.21,15.68,26.18,7.6,7.55,6.18,6.6,13.54,15.57,22.57,24.06,1996-1997,POFF,5
Phoenix Suns,102.04,116.05,10.39,11.11,10.18,14.4,30.96,33.54,23.22,26.13,8.35,10.29,5.3,4.94,16.29,14.4,22.4,25.1,1996-1997,POFF,5
Portland Trailblazers,103.76,111.85,5.2,4.05,13.58,13.01,29.19,32.37,22.83,25.43,6.36,8.09,4.91,6.07,16.76,14.16,33.24,27.17,1996-1997,POFF,4
Seattle SuperSonics,112.19,107.38,8.9,10.05,14.86,13.61,30.78,31.58,25,24.56,10.85,9.25,4.36,4.36,14.5,17.26,25.09,23.84,1996-1997,POFF,12
Utah Jazz,110.15,106.67,5.68,7.59,13.07,12.13,34.81,31.55,24.94,22.13,8.43,8.05,5.62,6.55,14.74,14.25,28.44,28.97,1996-1997,POFF,20
Washington Wizards,106.74,113.48,4.87,5.62,12.73,17.6,27.34,26.97,19.1,22.47,5.24,8.61,7.12,4.87,19.85,14.23,28.84,30.34,1996-1997,POFF,3
Atlanta Hawks,107.79,103.8,4.62,4.77,15.17,14.82,33.13,29.5,21.52,24.03,8.89,8.44,6.73,5.1,15.88,14.5,22.92,25.94,1997-1998,REG,82
Boston Celtics,101.98,104.99,5.38,3.89,15.51,13.19,26.51,31.79,23.55,23.73,12.8,9.05,4.75,5.28,16.55,20.98,28.57,22.34,1997-1998,REG,82
Charlotte Hornets,107.05,104.87,4.68,4.99,13.31,13.04,31.63,30.53,26.23,24.41,9.34,7.87,4.22,5.03,16.13,16.14,23.74,25.71,1997-1998,REG,82
Chicago Bulls,107.38,99.55,4.21,4.46,16.83,13.77,33.01,30.34,26.43,21.61,9.41,8.83,4.78,4.82,14.77,16.54,22.9,24.04,1997-1998,REG,82
Cleveland Cavaliers,101.69,98.7,4,4.57,12.8,12.71,31.25,29.89,25.39,24,10.91,9.48,5.62,6.1,18.26,18.62,26,25.53,1997-1998,REG,82
Dallas Mavericks,100.03,107.16,5.63,5.17,13.45,16.39,30.43,35.42,20.49,25.23,8.62,8.82,6.22,5.01,14.82,15.95,21.93,21.55,1997-1998,REG,82
Denver Nuggets,98.64,111.75,3.89,5.67,14.05,14.79,29.15,32.46,20.9,26.81,8.97,8.95,5.31,7.23,16.4,16.24,26.17,24.09,1997-1998,REG,82
Detroit Pistons,104.85,103.07,3.98,4.93,14.18,13.45,31.75,31.69,21.69,23.8,9.21,8.8,4.67,5.19,15.41,16.18,24.51,25.44,1997-1998,REG,82
Golden State Warriors,95.19,104.86,2.49,4.39,16.94,14.89,32.53,33.29,22.47,26.41,8.17,9.94,5.89,6.28,17.24,14.72,24.45,21.51,1997-1998,REG,82
Houston Rockets,107.39,108.31,7.6,5.43,13.09,13.82,31.16,30.87,23.85,25.4,9.1,9.72,3.9,4.84,16.61,15.08,21.92,23.19,1997-1998,REG,82
Indiana Pacers,107.75,100.83,5.49,3.75,11.96,15.23,32.13,30.82,25.85,21.75,8.83,8.81,5.04,5,15.15,16.16,25.42,25.25,1997-1998,REG,82
Los Angeles Clippers,103.11,111.13,6.88,4.38,13.63,15.34,29.84,32.4,20.1,23.96,8.19,9.53,5.98,5.41,16.35,14.75,23.95,22.92,1997-1998,REG,82
Los Angeles Lakers,111.8,103.65,6.42,4.91,13.94,14.52,31.93,30.24,25.96,23.8,9.48,8.53,7.18,5.47,15.88,15.72,24.02,27.81,1997-1998,REG,82
Miami Heat,107.35,101.72,7.56,4.2,14.17,14.58,33.35,30.75,24.24,22.46,9.17,8.78,5.91,5.1,16.16,15.97,27.32,25.5,1997-1998,REG,82
Milwaukee Bucks,102.98,105.09,3.31,4.04,13.76,13.32,29.72,30.03,21.92,23.21,9.74,10.17,4.75,5.29,17.66,17.24,25.45,24.04,1997-1998,REG,82
Minnesota Timberwolves,107.48,106.77,3.93,5.6,13.78,14.48,31.49,31.27,26.81,24.76,8.29,7.9,5.54,5.34,14.37,15.24,24.4,24.16,1997-1998,REG,82
New Jersey Nets,107.57,105.72,4.08,4.68,17.7,14.19,28.14,30.45,22.19,23.28,10.23,8.1,4.13,6.77,14.76,18.87,25.24,26.58,1997-1998,REG,82
New York Knicks,102.79,99.99,5.23,4.53,13.39,11.69,33.32,32.03,24.46,21.69,8.68,8.94,3.81,4.28,16.44,16.05,26.65,23.33,1997-1998,REG,82
Orlando Magic,102.37,103.63,4.06,4.34,16.33,15.1,30.53,31.44,23.48,24.12,8.99,10.36,6.11,5.38,16.96,16.64,22.41,25.87,1997-1998,REG,82
Philadelphia 76ers,101.93,104.63,3.24,5.12,14.99,14.87,30.56,31.21,23.04,25.69,9.71,10.21,6.53,6.77,17.23,16.92,25.02,25.39,1997-1998,REG,82
Phoenix Suns,107.49,101.78,5.67,5.18,13.05,13.82,32.28,30.81,27.96,23.71,9.95,9.47,5.65,4.25,15.72,17.12,23.23,23.26,1997-1998,REG,82
Portland Trailblazers,103.65,102.09,4.34,5,14.55,13.55,33.8,29.49,23.67,23.64,7.84,10.32,6.22,5.96,17.85,15.03,24.91,24.43,1997-1998,REG,82
